id,cust_id,order_date,order_details,total_order_cost
1,3,2019-03-04 00:00:00,Coat,100
2,3,2019-03-01 00:00:00,Shoes,80
3,3,2019-03-07 00:00:00,Skirt,30
4,7,2019-02-01 00:00:00,Coat,25
5,7,2019-03-10 00:00:00,Shoes,80
6,15,2019-02-01 00:00:00,Boats,100
7,15,2019-01-11 00:00:00,Shirts,60
8,15,2019-03-11 00:00:00,Slipper,20
9,15,2019-03-01 00:00:00,Jeans,80
10,15,2019-03-09 00:00:00,Shirts,50
11,5,2019-02-01 00:00:00,Shoes,80
12,12,2019-01-11 00:00:00,Shirts,60
13,12,2019-03-11 00:00:00,Slipper,20
14,4,2019-02-01 00:00:00,Shoes,80
15,4,2019-01-11 00:00:00,Shirts,60
16,3,2019-04-19 00:00:00,Shirts,50
17,7,2019-04-19 00:00:00,Suit,150
18,15,2019-04-19 00:00:00,Skirt,30
19,15,2019-04-20 00:00:00,Dresses,200
20,12,2019-01-11 00:00:00,Coat,125
21,7,2019-04-01 00:00:00,Suit,50
22,7,2019-04-02 00:00:00,Skirt,30
23,7,2019-04-03 00:00:00,Dresses,50
24,7,2019-04-04 00:00:00,Coat,25
25,7,2019-04-19 00:00:00,Coat,125